id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos,emIngles
tt4580794,Coffee Ani Barach Kahi,Coffee Ani Barach Kahi,2015,100,Romance,7.2,444,actress,Jaai,Prarthana Behere,N,N,actress,"tt7639236,tt5638474,tt4580794,tt1955036",False
tt4591230,A Moment of Love,Hui dao ai kai shi de di fang,2013,94,Romance,6.6,51,actress,Vivian,Yun Liu,1982,N,actress,"tt1434423,tt11262234,tt6450032,tt8137380",False
tt4596284,Akeli,Akeli,2014,165,Romance,6.4,13,actor,Vipin,Shankar Mishra,N,N,actor,"tt2551378,tt0405046,tt0401916,tt4879022",False
tt4602608,Kaakan,Kaakan,2015,140,Romance,8.7,98,actress,Gopi's Mother,Madhavi Juvekar,N,N,actress,"tt1815726,tt11449104,tt12405230,tt4602608",False
tt4607906,Romantic Schemer,Romantic Schemer,2015,84,Romance,7.1,217,actor,LukeCliffArt,Valentine,N,N,"director,actor,writer","tt4607906,tt4861048",False
tt4610308,Ishqedarriyaan,Ishqedarriyaan,2015,132,Romance,4.8,165,actress,N,Evelyn Sharma,1986,N,actress,"tt2178470,tt5997666,tt6836936,tt0458509",False
tt4610754,The Perfect Man,The Perfect Man,2015,92,Romance,6.0,9,actress,Rose,Daisy Nefatari,N,N,actress,"tt6299286,tt4450696,tt4610754,tt7887378",True
tt4620528,Jerryy,Jerryy,2014,116,Romance,5.5,76,actor,Jerryy,Anmol K.C.,N,N,"actor,producer","tt8545214,tt0301907,tt5804178,tt8822102",True
tt4634898,Udagawachô de matteteyo,Udagawachô de matteteyo,2015,65,Romance,5.8,128,actress,Momose's sister,Momoka Ayukawa,N,N,actress,"tt2887954,tt10795658,tt3786488,tt2011311",False
tt4648510,She Taxi,She Taxi,2015,153,Romance,3.0,120,actress,N,Kavya Madhavan,1984,N,"actress,music_department,soundtrack","tt0353725,tt0928191,tt1922632,tt0266288",True
tt4654776,Endendigu,Endendigu,2015,N,Romance,6.3,25,actress,Jyothi,Radhika Pandit,1984,N,actress,"tt4306300,tt5332216,tt3015712,tt2955162",False
tt4654964,Miss Match,Miss Match,2014,162,Romance,7.0,21,actor,Raj,Bhushan Pradhan,N,N,actor,"tt4654964,tt11023422,tt11779744,tt14773818",True
tt4657764,You Are My Sunshine,He yi sheng xiao mo,2015,107,Romance,3.8,343,actress,He Yimei,Angelababy,1989,N,"actress,soundtrack","tt1628841,tt4276752,tt2296692,tt2679042",False
tt4659490,Love Won't Let Me Wait,Love Won't Let Me Wait,2015,99,Romance,4.8,30,actress,Aunt Willia Mae,Thea Vidale,1956,N,"actress,writer","tt0805669,tt0106151,tt0108761,tt0185103",True
tt4687508,PhotoCopy,PhotoCopy,2016,136,Romance,6.5,60,actor,Sameer Wankhede,Chetan Chitnis,N,N,actor,"tt6466208,tt11841094,tt10305616,tt4687508",True
tt4714454,100 Poems for Stella,100 tula para kay Stella,2017,123,Romance,6.9,452,actress,Mrs. Barloza,Ana Abad Santos,N,N,"actress,producer","tt6155146,tt11247108,tt7284466,tt5573164",False
tt4742556,Accidentally Engaged,Accidental Engagement,2016,86,Romance,5.8,2402,actress,Clarissa Byers,Lexi Giovagnoli,1991,N,"actress,producer,miscellaneous","tt11753704,tt14207306,tt7919184,tt3579698",True
tt4769258,Dance with Me,Tantsuy so mnoy,2016,96,Romance,5.9,71,actress,N,Aleksandra Kirshina,N,N,actress,tt4769258,False
tt4773218,Love You Hamesha,Love You Hamesha,2015,N,Romance,6.0,6,actress,Khushi,Jhillik Bhattacharya,N,N,actress,"tt2961402,tt5889478,tt2928118,tt5660944",True
tt4782290,Lucky Girl,Lucky Girl,2015,93,Romance,6.9,83,actress,Wedding Guest,Erin Beaurem,N,N,"actress,executive",tt4782290,True
tt4804076,2 Premi Premache,2 Premi Premache,2015,102,Romance,5.8,13,actress,N,Anjana Mumtaz,1941,N,actress,"tt0106724,tt0069751,tt0242504,tt0242856",False
tt4819470,Forever Young,Zhi zi hua kai,2015,107,Romance,2.9,171,actor,An Di,Jinfu Jiang,1991,N,actor,"tt12643676,tt3013126,tt3236906,tt4819470",False
tt4819604,Cities in Love,Lian ai zhong de cheng shi,2015,117,Romance,5.0,88,actor,(segment Prague),Kai-Yuan Cheng,1996,N,actor,"tt3824950,tt4819604,tt3415554,tt6797204",False
tt4834850,Romance Complicated,Romance Complicated,2016,150,Romance,6.6,222,actor,Aaditya Kapoor,Umang Acharya,N,N,actor,"tt4455796,tt14484692,tt14484644,tt4834850",True
tt4838340,The Beloved,Chong sheng ai ren,2015,89,Romance,5.5,20,actress,Su Ying,Likun Wang,1985,N,"actress,soundtrack","tt4074958,tt8810398,tt2463998,tt10409112",False
tt4840680,Tsûgaku densha,Tsûgaku densha,2015,N,Romance,5.5,37,actress,N,Maria Fuji,N,N,actress,"tt2367211,tt4840680",False
tt4846952,Angrej,Angrej,2015,130,Romance,8.5,3465,actor,Haakam,Ammy Virk,1992,N,"actor,music_department,producer","tt5474036,tt5929890,tt4846952,tt7518786",False
tt4860338,We Could Happen,We Could Happen,2016,63,Romance,5.4,35,actor,Bud,Mickey O'Sullivan,N,N,"actor,miscellaneous","tt6294706,tt5968394,tt2805096,tt5542294",True
tt4860356,One Thing She Doesn't Have,One Thing She Doesn't Have,2014,96,Romance,5.8,40,actor,Hong Jin-Woo,Hyeon-jae Jo,1980,N,actor,"tt3541196,tt0813811,tt0487239,tt5010664",True
tt4882692,Love 24x7,Love 24x7,2015,136,Romance,5.5,296,actress,Kabani S. aka Kabani Karthika,Nikhila Vimal,1994,N,"actress,producer","tt13137738,tt11591306,tt7557024,tt7822416",True
tt4886030,Time to Love,Xin bu bu jing xin,2015,114,Romance,4.2,122,actress,Saman,Hong Guo,N,N,actress,"tt10472296,tt7817930,tt1456660,tt5154296",False
tt4886056,"Love, at First",Ai zhi chu ti yan,2015,96,Romance,4.8,13,actress,Milan,Xiaofeng Li,N,N,actress,"tt4886056,tt2115388,tt6654316,tt10551420",False
tt4892714,Fall in Love Like a Star,Peng ran xing dong,2015,98,Romance,5.3,253,actor,Chen Xuan,David Yao-Qing Wang,1974,N,actor,"tt2115388,tt7183578,tt5819424,tt11569628",False
tt4903518,The Rise of a Tomboy,The Rise of a Tomboy,2016,93,Romance,5.0,171,actor,Do,Simon Twu,N,N,"actor,producer,writer","tt12416828,tt12281608,tt9376612,tt3072140",True
tt4909730,The 30 Day Rule,The 30 Day Rule,2018,81,Romance,6.0,16,actor,Barret Aikens,T. Justin Hooper,N,N,actor,"tt2846474,tt4909730,tt3444680,tt3085778",True
tt4934506,Ramta Jogi,Ramta Jogi,2015,139,Romance,7.3,87,actor,N,Zafar Dhillon,N,N,actor,"tt4847478,tt4934506",False
tt4938362,The Beat of Love: Utrip Ljubezni,The Beat of Love: Utrip Ljubezni,2015,77,Romance,5.2,40,actor,Music expert,Dalaj Eegol,N,N,actor,"tt5894530,tt4938362,tt3687814",False
tt4941354,The Second Time Around,The Second Time Around,2016,107,Romance,6.8,251,actor,Charlie,Louis Del Grande,1943,N,"actor,writer,producer","tt0078685,tt0098369,tt0081455,tt0316535",True
tt4946192,Happy Ending,Happy Ending,2015,N,Romance,8.1,18,actor,Manoj,Manoj Krishna Tanneru,N,N,"director,actor,writer","tt4946192,tt7209352,tt5457722,tt4272454",True
tt4964550,Water Boyy,Water Boyy,2015,113,Romance,6.0,248,actress,Nune's Friend,Watchara Sukchum,N,N,actress,"tt13660272,tt12650216,tt6556958,tt12897880",True
tt4968546,Kanon,Kanon,2016,123,Romance,7.5,10,actress,N,Nozomi Sasaki,1988,N,actress,"tt1538401,tt6194486,tt5815944,tt2891408",False
tt4975874,Muddu Manase,Muddu Manase,2015,N,Romance,8.6,10,actress,N,Aishwarya Nag,N,N,actress,"tt3043874,tt3086074,tt3666724,tt4975874",False
tt4979160,Ishq Forever,Ishq Forever,2016,125,Romance,4.2,110,actress,Naina,Lisa Ray,1972,N,actress,"tt1303828,tt0240200,tt0303785,tt0830570",False
tt4990024,Game,Game,2015,140,Romance,7.0,8,actress,Top Heroin,Amrita Khan,N,N,actress,tt4990024,False
tt5000984,French Toast,French Toast,2015,87,Romance,5.7,267,actress,Ellen van der Merwe,Heléne Lombard,N,N,actress,"tt4003648,tt2908240,tt3471944,tt5000984",True
tt5001880,Heart Beats,Heart Beats,2015,N,Romance,8.8,14,actor,Michael,Larry Rosen,N,N,"producer,director,writer","tt4801456,tt4890154,tt3350376,tt4070128",True
tt5004918,Love in the 1980s,1980 nian dai de ai qing,2015,105,Romance,6.5,50,actress,Cheng Liwen,Caiyu Yang,N,N,actress,"tt2369041,tt10564446,tt6654316,tt8223828",False
tt5008220,Fly Me to Venus,Xing yu xin yuan zhi zai ai,2015,92,Romance,6.1,31,actor,N,David Chen,N,N,actor,tt5008220,False
