id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos,Is_English
tt12265346,Dear Loneliness,Dear Loneliness,2019,99,Drama,6.0,22,actor,Bookstore Owner,Yi-Chun Luo,N,N,actor,tt12265346,False
tt12268362,Saving Mbango,Saving Mbango,2020,N,Drama,6.2,48,actress,Mbango,Onyama Laura,N,N,actress,"tt22024772,tt12268362,tt19394268,tt7097350",False
tt12268760,Lil Ceaser,Lil Ceaser,2020,79,Drama,3.1,62,actor,Pony,Leon Abbington,N,N,,"tt21926442,tt21940178,tt12268760,tt15727400",False
tt12269026,Paper Flower,Paper Flower,2019,103,Drama,6.5,14,actor,N,Sung-Ki Ahn,1952,N,actor,"tt0891577,tt0115855,tt0299222,tt2085765",True
tt12270146,Jacir,Jacir,2022,105,Drama,9.1,82,actor,Jerome,Tutweezy,N,N,,"tt12270146,tt10612674",False
tt12275196,Ludi,Ludi,2021,80,Drama,6.8,33,actor,George,Alan Myles Heyman,N,N,actor,"tt4919802,tt2234485,tt2545538,tt5042418",False
tt12275248,The Bastard King,The Bastard King,2020,89,Drama,5.8,27,actor,The Bastard King,David Oyelowo,1976,N,"actor,producer,director","tt4779326,tt3387266,tt1020072,tt3042800",True
tt12280548,The Light Between Us,The Light Between Us,2020,90,"Drama,Romance",5.3,27,actor,David,Donnie Brown Jr.,N,N,actor,"tt21303424,tt12280548,tt14858346,tt13489526",True
tt12280566,Love in Dangerous Times,Love in Dangerous Times,2020,94,Drama,6.1,1494,actress,Sorrell,Tiffany Groben,N,N,actress,"tt13469966,tt5891038,tt12280566,tt5084216",True
tt12282354,Matthew Bourne's the Red Shoes,Matthew Bourne's the Red Shoes,2020,97,Romance,7.4,69,actor,Grischa Ljubov,Glenn Graham,N,N,actor,"tt0159876,tt12282354",True
tt12282600,This Lady Called Life,This Lady Called Life,2020,120,Drama,7.0,65,actor,Judge 2,Bamidele Akingbulu,N,N,"costume_designer,costume_department,actor","tt16287560,tt16073498,tt19177794,tt8847418",True
tt12285116,Keeping the Bees,Kovan,2019,93,Drama,5.8,868,actress,Mine,Burcu Salihoglu,N,N,actress,"tt1523475,tt1807872,tt22750976,tt6289452",False
tt12286896,Man from Podolsk,Chelovek iz Podolska,2020,92,Drama,6.8,675,actress,Frolov's mother,Yuliya Bashorina,N,N,actress,"tt7601480,tt11455654,tt12286896,tt22644346",False
tt12293864,Crossing Shaky Ground,Crossing Shaky Ground,2020,108,Drama,3.7,16,actor,Jim,Paul Bright,1965,N,"actor,writer,director","tt4677934,tt0815098,tt14458370,tt5467376",True
tt12295472,Anonymous,Anonymous,2021,96,Drama,7.0,33,actress,Liv,Karenina Angelique,N,N,"actress,producer,miscellaneous","tt12295472,tt6892218,tt8023054,tt8783940",True
tt12299728,Mio's Cookbook,Mio-Tsukushi Ryouri-Chou,2020,131,Drama,6.6,276,actress,Noe,Nao Honda,1995,N,actress,"tt9679644,tt13529316,tt14558908,tt14100718",False
tt12299824,JJ+E,Vinterviken,2021,90,"Drama,Romance",5.3,1900,actor,Sluggo,Jonay Pineda Skallak,N,N,actor,tt12299824,False
tt12299992,Ombatthane Dikku,Ombatthane Dikku,2022,N,Drama,6.3,329,actor,N,Ashok,N,N,actor,"tt4597454,tt1964837,tt0245978,tt6359554",False
tt12306846,Hajari,Hajari,2020,N,Drama,8.7,8,actress,Neha,Sakshee Gandhi,N,N,actress,"tt12306846,tt11091628,tt12665002,tt10897054",False
tt12306926,DAU. Brave People,DAU. Smelye ludi,2020,153,Drama,5.7,121,actor,Alexei Blinov,Alexei Blinov,N,N,actor,"tt12459348,tt12306926,tt12313622,tt11777298",False
tt12306964,On the Fringe,En los márgenes,2022,105,Drama,7.0,340,actor,Rafa,Luis Tosar,1971,N,"actor,soundtrack,producer","tt1242422,tt0350193,tt1437358,tt0385703",False
tt12307548,Tale of Rising Rani,Tale of Rising Rani,2022,N,Drama,8.9,13,actress,Police Inspector,Anju Gaur,N,N,"actress,writer,producer","tt15387268,tt12307548,tt22356474,tt9054970",True
tt12307950,Borva,Borva,2019,85,Drama,6.7,16,actress,N,Arina Mirzaei,N,N,actress,tt12307950,True
tt12308684,Coming Clean,Coming Clean,2020,71,Drama,5.9,27,actor,(segment Savage Fire),Luis Farias,N,N,actor,"tt13206450,tt12874456,tt7554628,tt12308684",True
tt12310092,SNUPD My name is BATFOI,SNUPD My name is BATFOI,2021,N,Drama,6.6,67,actor,Alina,Diana Nitu,N,N,actor,"tt7503994,tt12310092",True
tt12310770,Buro Johnson,Buro Johnson,2013,47,Drama,7.7,6,actress,Riya,Suvapriya Chatterjee,N,N,actress,tt12310770,False
tt12312912,Fire in the Mountains,Fire in the Mountains,2021,84,Drama,6.9,100,actor,Dharam,Chandan Bisht,N,N,actor,"tt1179782,tt0377131,tt0248185,tt12312912",True
tt12313444,Lifelines,Si demain,2020,86,Drama,6.5,29,actress,ElenaEsther's lesbian partner,Lucie Debay,1985,N,"actress,writer","tt5546300,tt4818804,tt7773210,tt2296857",False
tt12313622,DAU. String Theory,DAU. Teoriya strun,2020,169,Drama,5.3,101,actor,N,Nikita Nekrasov,N,N,actor,"tt12313622,tt1728616,tt11777298,tt11909040",False
tt12317310,Ghamad Shere,Ghamad Shere,2019,N,Drama,7.7,37,actor,N,Nischal Basnet,N,N,"actor,music_department,soundtrack","tt6944552,tt3342558,tt6329870,tt2179133",False
tt12318844,Sex & Water,Sex & Water,2018,63,Drama,5.6,8,actor,N,Edwin Martinez,N,N,actor,N,True
tt12319512,A Hustle Bustle New Year,Mei You Guo Bu Qu De Nian,2021,99,Drama,4.7,12,actress,N,Yanshu Wu,1938,N,actress,"tt15430582,tt12319206,tt7479718,tt11322786",False
tt12319706,Cam Girls,Cam Girls,2021,85,Romance,2.9,348,actress,Kelly Childs,Barbara Dabson,N,N,actress,"tt13196156,tt4065340,tt10863072,tt10843814",True
tt12319932,Diyalog,Diyalog,2021,100,Drama,5.9,81,actress,Yönetmen,Funda Eryigit,1984,N,"actress,producer","tt7668518,tt4343334,tt4373956,tt9174880",False
tt12320574,Bir Bikram 2,Bir Bikram 2,2019,131,"Drama,Romance",5.8,21,actress,N,Barsha Siwakoti,N,N,actress,"tt7991418,tt12320574,tt5691226,tt12929406",False
tt12320684,Aama,Aama,2020,112,Drama,8.3,122,actor,N,Deshbhakta Khanal,N,N,"actor,director","tt3638644,tt12320574,tt2296799,tt0325976",False
tt12321014,Cidade Dormitório,Cidade Dormitório,2018,131,Drama,8.0,9,actor,Seu Teixeira,Sirmar Antunes,N,N,actor,"tt12321014,tt0284345,tt1735173,tt4778372",False
tt12321124,Senti Virus,Senti Virus,2020,N,Drama,7.7,10,actor,Satya,Narendra Singh Dhami,2002,N,actor,"tt8178634,tt7254868,tt7471552,tt10350922",False
tt12321728,Two Boys and A Mermaid,Two Boys and A Mermaid,2015,70,Drama,5.1,7,actress,Ariel,Narelle Kheng,N,N,actress,"tt12321728,tt6389070,tt9140542,tt7131682",True
tt12322110,Pra onde levam as ondas,Pra onde levam as ondas,2021,90,Drama,9.4,8,actor,Virgil,Hugo Carvalho,N,N,actor,"tt8140518,tt15018738,tt12389906,tt12322110",False
tt12322986,Softie,Petite nature,2021,93,Drama,7.0,444,actress,Nora,Izïa Higelin,1990,N,"actress,soundtrack,writer","tt1465487,tt2359668,tt3399024,tt4080768",False
tt12323746,Istmo,Istmo,2020,100,Drama,5.0,7,actress,Antonia,Antonia San Juan,1961,N,"actress,director,writer","tt0467542,tt8228288,tt0185125,tt1538451",False
tt12325320,The Curators of Dixon School,The Curators of Dixon School,2018,80,Drama,8.6,10,actor,N,Joan Dameron Crisler,N,N,actor,tt12325320,True
tt12325668,Pearl,Pearl,2020,92,Drama,4.7,289,actress,Helen,Sarah Carter,1980,N,"actress,producer,director","tt3107288,tt2397255,tt1606389,tt1462059",True
