id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos
tt10408944,Romance in the Outfield: Double Play,Romance in the Outfield: Double Play,2020,97,Romance,4.6,113,actress,Tiffany,Shae Robins,N,N,actress,"tt15214902,tt13491628,tt10408944,tt16612852"
tt10408944,Romance in the Outfield: Double Play,Romance in the Outfield: Double Play,2020,97,Romance,4.6,113,actress,Amanda,Mary Hall,N,N,"actress,script_department","tt10408944,tt9702698,tt10001000,tt12587536"
tt10408944,Romance in the Outfield: Double Play,Romance in the Outfield: Double Play,2020,97,Romance,4.6,113,actress,McKinlee,Emily Ashby,N,N,"actress,director,writer","tt13603778,tt8690580,tt8327630"
tt10408944,Romance in the Outfield: Double Play,Romance in the Outfield: Double Play,2020,97,Romance,4.6,113,actress,Kenzie,Monica Moore Smith,1997,N,"actress,music_department","tt11323382,tt11827282,tt12587536,tt13494136"
tt10422832,Ephemeral Eternity,Ephemeral Eternity,2018,77,Romance,4.1,12,actor,D. Morrison,James Speed,N,N,"actor,art_department,set_decorator","tt1374988,tt4109998,tt1677666,tt10422832"
tt10422832,Ephemeral Eternity,Ephemeral Eternity,2018,77,Romance,4.1,12,actress,J. Carli,Olivia Stiefel,N,N,"actress,miscellaneous","tt3629032,tt2716802,tt5639410,tt3502248"
tt10422832,Ephemeral Eternity,Ephemeral Eternity,2018,77,Romance,4.1,12,actress,O. Wolf,Sarah Navratil,1987,N,"actress,script_department,casting_director","tt1578873,tt7161862,tt4643084"
tt10422832,Ephemeral Eternity,Ephemeral Eternity,2018,77,Romance,4.1,12,actor,M. Lin,Cham,N,N,"actor,composer,writer","tt10203918,tt4109998,tt10422832,tt1610527"
tt10422832,Ephemeral Eternity,Ephemeral Eternity,2018,77,Romance,4.1,12,actress,L. Mao,Mina Yang,N,N,"actress,producer","tt4109998,tt4106250,tt3657546,tt10422832"
tt10423120,Matinee,Matinee,2019,124,Romance,5.7,173,actress,Yoko Komine,Yuriko Ishida,1969,N,actress,"tt0110008,tt0119698,tt1798188,tt4882964"
tt10423120,Matinee,Matinee,2019,124,Romance,5.7,173,actor,Richard Shindo,Yûsuke Iseya,1976,N,"actor,director,writer","tt1789898,tt1436045,tt0366659,tt0861689"
tt10423120,Matinee,Matinee,2019,124,Romance,5.7,173,actor,Satoshi Makino,Masaharu Fukuyama,1969,N,"actor,composer,soundtrack","tt1160629,tt2412556,tt2331143,tt3029556"
tt10423120,Matinee,Matinee,2019,124,Romance,5.7,173,actress,Sanae Mitani,Yuki Sakurai,1987,N,actress,"tt3675748,tt4439120,tt12681644,tt5230488"
